highest_occupied lowest_unoccupied Egap
ZnO-PBEU-6.50_4.50.out 8.1534 10.5611 2.4077
ZnO-PBEU-6.50_5.00.out 8.0841 10.6293 2.5452
ZnO-PBEU-6.50_5.50.out 8.0140 10.6958 2.6818
ZnO-PBEU-6.50_6.00.out 7.9436 10.7608 2.8172
ZnO-PBEU-6.50_6.50.out 7.8727 10.8242 2.9515
ZnO-PBEU-6.50_7.00.out 7.8015 10.8860 3.0845
ZnO-PBEU-6.50_7.50.out 7.7303 10.9465 3.2162
ZnO-PBEU-6.50_8.00.out 7.6592 11.0054 3.3462
ZnO-PBEU-6.50_8.50.out 7.5882 11.0631 3.4749
ZnO-PBEU-6.50_9.00.out 7.5175 11.1194 3.6019
ZnO-PBEU-6.50_9.50.out 7.4471 11.1744 3.7273
ZnO-PBEU-7.00_10.00.out 7.3225 11.2224 3.8999
ZnO-PBEU-7.00_10.50.out 7.2509 11.2751 4.0242
ZnO-PBEU-7.00_11.00.out 7.1799 11.3266 4.1467
ZnO-PBEU-7.00_11.50.out 7.1097 11.3771 4.2674
ZnO-PBEU-7.00_12.00.out 7.0404 11.4264 4.386
ZnO-PBEU-7.00_4.00.out 8.1906 10.4853 2.2947
ZnO-PBEU-7.00_4.50.out 8.1206 10.5553 2.4347
ZnO-PBEU-7.00_5.00.out 8.0496 10.6236 2.574
ZnO-PBEU-7.00_5.50.out 7.9778 10.6900 2.7122
ZnO-PBEU-7.00_6.00.out 7.9057 10.7551 2.8494
ZnO-PBEU-7.00_6.50.out 7.8329 10.8184 2.9855
ZnO-PBEU-7.00_7.00.out 7.7599 10.8803 3.1204
ZnO-PBEU-7.00_7.50.out 7.6867 10.9407 3.254
ZnO-PBEU-7.00_8.00.out 7.6134 10.9996 3.3862
ZnO-PBEU-7.00_8.50.out 7.5403 11.0573 3.517
ZnO-PBEU-7.00_9.00.out 7.4673 11.1136 3.6463
ZnO-PBEU-7.00_9.50.out 7.3946 11.1686 3.774
ZnO-PBEU-7.50_10.00.out 7.2704 11.2167 3.9463
ZnO-PBEU-7.50_10.50.out 7.1965 11.2694 4.0729
ZnO-PBEU-7.50_11.00.out 7.1231 11.3209 4.1978
ZnO-PBEU-7.50_11.50.out 7.0504 11.3713 4.3209
ZnO-PBEU-7.50_12.00.out 6.9785 11.4207 4.4422
ZnO-PBEU-7.50_4.00.out 8.1609 10.4797 2.3188
ZnO-PBEU-7.50_4.50.out 8.0894 10.5497 2.4603
ZnO-PBEU-7.50_5.00.out 8.0169 10.6179 2.601
